time,P,I,D,ds,left speed,right speed
60,-679.480591,-0.000000,38492.288589,37812.807999,-37812.807999,37812.807999
61,-3017.922058,-0.000000,-36538.147926,-39556.069984,39556.069984,-39556.069984
62,-676.493530,-0.000000,36584.820747,35908.327217,-35908.327217,35908.327217
63,-3075.844116,-0.000000,-37489.852905,-40565.697021,40565.697021,-40565.697021
64,-943.636475,-0.000000,33315.744400,32372.107925,-32372.107925,32372.107925
65,-3172.597351,-0.000000,-34827.513695,-38000.111046,38000.111046,-38000.111046
66,-901.428833,-0.000000,35487.008095,34585.579262,-34585.579262,34585.579262
67,-3040.649414,-0.000000,-33425.321579,-36465.970993,36465.970993,-36465.970993
68,-458.831177,-0.000000,40340.909958,39882.078781,-39882.078781,39882.078781
69,-3108.701172,-0.000000,-41404.218674,-44512.919846,44512.919846,-44512.919846
70,-682.337646,-0.000000,37911.930084,37229.592438,-37229.592438,37229.592438
71,-3122.727356,-0.000000,-38131.089211,-41253.816566,41253.816566,-41253.816566
72,-1070.649414,-0.000000,32063.717842,30993.068428,-30993.068428,30993.068428
73,-3157.532349,-0.000000,-32607.545853,-35765.078201,35765.078201,-35765.078201
74,-1059.739990,-0.000000,32778.005600,31718.265610,-31718.265610,31718.265610
75,-3099.480591,-0.000000,-31870.946884,-34970.427475,34970.427475,-34970.427475
76,-774.805298,-0.000000,36323.051453,35548.246155,-35548.246155,35548.246155
77,-3136.623230,-0.000000,-36903.405190,-40040.028420,40040.028420,-40040.028420
78,-795.194702,-0.000000,36584.820747,35789.626045,-35789.626045,35789.626045
79,-3153.766174,-0.000000,-36852.679253,-40006.445427,40006.445427,-40006.445427
80,-1155.974121,-0.000000,31215.500832,30059.526711,-30059.526711,30059.526711
81,-3205.194702,-0.000000,-32019.071579,-35224.266281,35224.266281,-35224.266281
82,-1148.441772,-0.000000,32136.764526,30988.322754,-30988.322754,30988.322754
83,-3177.402649,-0.000000,-31702.513695,-34879.916344,34879.916344,-34879.916344
84,-791.818237,-0.000000,37274.756432,36482.938194,-36482.938194,36482.938194
85,-3098.961182,-0.000000,-36049.108505,-39148.069687,39148.069687,-39148.069687
86,-663.246460,-0.000000,38058.042526,37394.796066,-37394.796066,37394.796066
87,-3177.792358,-0.000000,-39289.779663,-42467.572021,42467.572021,-42467.572021
88,-926.363525,-0.000000,35178.575516,34252.211990,-34252.211990,34252.211990
89,-3217.012939,-0.000000,-35791.397095,-39008.410034,39008.410034,-39008.410034
90,-1244.285889,-0.000000,30823.860168,29579.574280,-29579.574280,29579.574280
91,-3152.467651,-0.000000,-29815.340042,-32967.807693,32967.807693,-32967.807693
92,-932.077637,-0.000000,34693.593979,33761.516342,-33761.516342,33761.516342
93,-3104.545593,-0.000000,-33944.811821,-37049.357414,37049.357414,-37049.357414
94,-784.805298,-0.000000,36245.942116,35461.136818,-35461.136818,35461.136818
95,-3173.896179,-0.000000,-37329.545021,-40503.441200,40503.441200,-40503.441200
96,-1147.532349,-0.000000,31661.934853,30514.402504,-30514.402504,30514.402504
97,-3192.857056,-0.000000,-31958.198547,-35151.055603,35151.055603,-35151.055603
98,-1391.428833,-0.000000,28147.315979,26755.887146,-26755.887146,26755.887146
99,-3140.779114,-0.000000,-27333.598137,-30474.377251,30474.377251,-30474.377251
